Date,AAL.L,ABF.L,ADM.L,AHT.L,ANTO.L,AUTO.L,AV.L,AVV.L,AZN.L,BA.L,BARC.L,BATS.L,BDEV.L,BEZ.L,BKG.L,BME.L,BNZL.L,BP.L,BRBY.L,BT-A.L,CCH.L,CNA.L,CPG.L,CRDA.L,CRH.L,CTEC.L,DCC.L,DGE.L,DPLM.L,EDV.L,ENT.L,EXPN.L,EZJ.L,FCIT.L,FRAS.L,FRES.L,GLEN.L,GSK.L,HIK.L,HLMA.L,HLN.L,HSBA.L,IAG.L,ICP.L,IHG.L,III.L,IMB.L,INF.L,ITRK.L,JD.L,KGF.L,LAND.L,LGEN.L,LLOY.L,LSEG.L,MNDI.L,MNG.L,MRO.L,NG.L,NWG.L,NXT.L,OCDO.L,PSH.L,PSN.L,PSON.L,PURG.L,REL.L,RIO.L,RKT.L,RMV.L,RR.L,RTO.L,SBRY.L,SDR.L,SGE.L,SGRO.L,SHEL.L,SKG.L,SMDS.L,SMIN.L,SMT.L,SN.L,SPX.L,SSE.L,STAN.L,SVT.L,TSCO.L,TW.L,ULVR.L,UTG.L,UU.L,VOD.L,WEIR.L,WPP.L,WTB.L
2020-12-03,6118090,1989296,834609,1788007,1964382,3439216,21009927,,3702698,5807380,42251461.0,6128846,,2491893,441505,23468124.0,1219053,66539903.0,2367337,66952611,782001,18384872,5251505,588075.0,1440834,3575235.0,253433,6365058.0,171768,2050,5624021,3024180,5149102,509583,198237,1048328,44169237.0,9092003,459598,1003720,,36857841,86646746.0,,768362,1737245,3550691.0,2243269,204694,5539910,8138790,1884472,11414420,305393067,957033,998420,5537453,3892250,9649264,18030807,283775,1189240,632535,1102272,1672447,,2909759,3794924.0,1975126,1547062,171564312.0,3240952,16895255,3312688,7232161,2554984,8882031,866440,,735783,2113674,2252138.0,113924,2006669,5609422,607171,31061203,13900411,9021687,772171,1782083,38889529,1499162,2157299.0,1243064
2020-12-04,4976865,4088256,503558,1526200,2073531,2701269,10205744,,3426784,6074306,92767366.0,2836092,,2141609,915080,16681497.0,607646,71997406.0,2216959,56314072,651353,50800345,3157319,597255.0,1407584,4427798.0,312623,3703561.0,139667,0,2895254,1778110,8897262,490160,265223,1353576,75211908.0,7980481,407940,712465,,34453525,57832615.0,,622321,1333666,2657521.0,6815652,399500,4606825,11216542,2573963,26648899,242276964,703851,878761,5414047,5308002,17901619,21042235,240091,1098374,332533,2108673,1894804,,3771469,2836696.0,1309625,2600798,112258235.0,5163900,8740778,1554611,4250895,2574431,19265860,610852,,1088781,2294299,1830983.0,121779,3293424,7633632,830853,13798793,30822390,6901498,814818,1938862,76554342,679355,4380936.0,835276
2020-12-07,3635302,1842260,701628,1197374,2996656,2333042,13877642,,2189160,6469922,201179938.0,4397302,,1518591,819193,3964724.0,876730,59901421.0,785582,28054737,527963,28761082,2718191,2074017.0,957906,4216570.0,246385,3371447.0,205534,111,2317425,1297716,4851729,535208,258302,1297210,29757307.0,7724106,415252,1100728,,22420808,43925301.0,,527391,1444625,3578521.0,2162424,379563,6631700,7778386,2365988,20523397,291946176,423049,2384077,9457247,5760139,6002027,22307064,417580,1415752,389498,1423241,7177036,,2934074,2174660.0,1141679,2125949,56197149.0,4951514,22218977,1413776,4990946,1833258,26606201,1473161,,757906,2750586,1430185.0,116830,2795718,7253459,694238,17341718,22864553,5721332,899345,2512203,58565848,884733,3602223.0,853139
2020-12-08,4406787,3952375,406199,2222956,1603930,2285779,9408093,,1850894,7299638,37242394.0,4205729,,1176279,577821,4582438.0,914492,38366582.0,1069482,23835908,594522,17352426,3086390,328985.0,915021,3208057.0,435805,3202231.0,281889,0,1802718,2322644,6317192,385760,255037,1007244,25350839.0,7051596,374491,1122691,,30631829,36247704.0,,624449,2525704,2738456.0,2142229,526124,5694235,6854386,1392221,12092381,209227033,436754,1223660,9022731,3788156,8835307,15034867,338472,1562050,196043,1033336,2191562,,2648069,3960459.0,1514170,2390674,43340720.0,2144168,6960802,1010129,5053561,1636070,5053220,585792,,587462,2444503,1358682.0,114936,2967230,5867265,514015,16967693,18618207,7942697,701033,1871888,72095415,782225,2209162.0,540816
2020-12-09,3263028,1509327,664250,1282732,1259935,1912787,9510598,,2746073,6644050,31964551.0,5593372,,1804430,372536,1921149.0,644217,82871254.0,2090730,49515499,472409,23655537,3661374,311266.0,940193,2082773.0,499273,2196177.0,153093,292,1473555,2411165,3042985,276460,679799,741262,24852001.0,8912307,471174,979790,,44788874,37673905.0,,322679,2960397,2620917.0,1937766,499880,8720690,11145587,2368617,15334070,159190277,354130,1912950,9755274,5384901,11906659,13376784,560963,1967471,225223,1558632,2720168,,4557915,3919110.0,1400111,1610463,77884105.0,2323214,8346087,1676717,5921621,2932234,12018778,477154,,948309,4647233,1291586.0,96590,2638929,5496678,775343,26420326,12823227,10518285,484088,1421683,104907974,1136784,2932985.0,556926
2020-12-10,4295333,1251153,708504,992531,2153128,2704212,14837981,,2257369,6287477,143650430.0,7950885,,2203718,599341,5144057.0,757939,62569948.0,1080457,47259723,541783,18651829,3311618,531179.0,1281821,5744942.0,478076,5437072.0,246024,0,0,1850507,2941455,981038,855598,2577999,28044651.0,7153775,1425363,928310,,51349204,38755648.0,,443099,1720642,3352585.0,2334541,572388,14403465,13543796,1986249,27318656,400382461,730353,1343267,8853278,14667718,8202698,23201218,404102,2760950,216002,2233420,2575515,,4932608,2459429.0,1578639,1682806,35231954.0,4066562,11413662,3497541,2862071,2428755,10042654,334691,,817766,3037618,1774943.0,200038,2375352,7543739,891717,15704256,16491549,7184914,831584,5801573,82290222,977396,4107428.0,987187
2020-12-11,4404944,785183,831959,880462,2058128,6012861,12379436,,1751201,9764961,82366916.0,3641480,,1042489,599026,6053060.0,995290,51656238.0,1109821,52520323,720121,22161177,2999297,289416.0,1016708,4610065.0,196491,3055118.0,211342,0,0,1852478,7812208,235050,692957,2705740,29427243.0,9713807,327751,746361,,32348309,41146269.0,,505878,3191745,2130487.0,1953890,733738,8947285,9849493,5059366,17297060,356533901,560922,1033308,13910470,10410235,16803572,30949806,393406,1265171,153394,1863515,2991520,,2675361,3106205.0,993290,2032075,92092627.0,4438159,14218913,1029311,3885228,3739339,7069569,275671,,512014,3687804,1504799.0,164969,2310164,5267768,475155,17689278,18406915,3813438,634755,1918723,69205730,692812,4009786.0,998925
2020-12-14,4014258,995223,1260266,770844,3259608,5756973,12958957,,8369844,12926474,60342841.0,3794056,,1204547,1050381,11285122.0,570831,53222525.0,676652,49889801,517287,104045418,2906867,613382.0,519572,4178321.0,259572,3197506.0,208272,108,1440538,1368370,5035407,313490,456848,2881182,58427859.0,19513361,353018,889748,,43195246,25791843.0,,1057613,2647994,2398644.0,2036444,744571,10884525,7629990,2437214,15931508,280361772,509959,1374917,8666601,4087904,12834160,25506013,483033,2177048,146072,1133784,3576214,,4998524,2893240.0,980783,4284165,80854603.0,2373910,15555806,4567635,8510478,3373485,10518884,280964,,568354,3486686,2001172.0,217494,2539118,8526404,1881778,27741401,14750827,9145472,549776,1564750,74922888,1319493,7220654.0,464101
2020-12-15,8205416,960934,403240,1459102,1043438,2490679,15696831,,7679478,5871884,48178265.0,11082929,,1039720,533477,3089018.0,542969,87112918.0,1199297,25640062,722319,54322985,9154317,250790.0,1326172,4651656.0,289699,11421542.0,257340,0,2636485,1456618,3415275,391334,411403,1904668,77889793.0,21228779,509762,1898789,,99252117,20724539.0,,1041801,1128843,1851269.0,3564403,168942,19404890,6713267,1766052,20169222,380477148,1552196,1075245,6993671,5304219,16431400,18794194,278290,2994738,202494,1139516,4213927,,7677996,6301386.0,2333561,2639024,55739540.0,5017107,8743050,1415276,2797409,1694999,17730400,390598,,680583,2531621,1400340.0,310788,2699855,12173503,1442874,40430110,11085288,12251854,716335,3920791,85134718,1333128,2929562.0,683805
2020-12-16,3922176,4180106,1211152,1960672,3547981,5908905,20731243,,3850651,15748857,41004979.0,5483434,,1568591,805433,6808194.0,2168763,47336707.0,2595973,47213763,1122239,29733472,4158838,579291.0,7218475,4442614.0,432178,3937981.0,342879,0,3545070,3115576,3497331,779536,507345,1337512,43342213.0,13225840,1002090,547579,,39723194,41690520.0,,660992,3959648,4741047.0,6956165,795992,15126835,12267789,1891419,36236462,242091960,705271,3154595,17595837,11509842,8391266,37230281,821859,3863521,314298,2455066,10735620,,3016993,3447593.0,1085666,5714452,71740253.0,7144798,10553537,2915829,5035155,5275279,12877227,900287,,1688420,2538967,3379794.0,95239,6655500,17528880,625950,18099874,25952682,4493454,949318,3775169,101747957,1804845,5996494.0,1527046
