Date,AAL.L,ABF.L,ADM.L,AHT.L,ANTO.L,AUTO.L,AV.L,AVV.L,AZN.L,BA.L,BARC.L,BATS.L,BDEV.L,BEZ.L,BKG.L,BME.L,BNZL.L,BP.L,BRBY.L,BT-A.L,CCH.L,CNA.L,CPG.L,CRDA.L,CRH.L,CTEC.L,DCC.L,DGE.L,DPLM.L,EDV.L,ENT.L,EXPN.L,EZJ.L,FCIT.L,FRAS.L,FRES.L,GLEN.L,GSK.L,HIK.L,HLMA.L,HLN.L,HSBA.L,IAG.L,ICP.L,IHG.L,III.L,IMB.L,INF.L,ITRK.L,JD.L,KGF.L,LAND.L,LGEN.L,LLOY.L,LSEG.L,MNDI.L,MNG.L,MRO.L,NG.L,NWG.L,NXT.L,OCDO.L,PSH.L,PSN.L,PSON.L,PURG.L,REL.L,RIO.L,RKT.L,RMV.L,RR.L,RTO.L,SBRY.L,SDR.L,SGE.L,SGRO.L,SHEL.L,SKG.L,SMDS.L,SMIN.L,SMT.L,SN.L,SPX.L,SSE.L,STAN.L,SVT.L,TSCO.L,TW.L,ULVR.L,UTG.L,UU.L,VOD.L,WEIR.L,WPP.L,WTB.L
2020-11-19,2064.451904296875,1997.041015625,2929.4697265625,3130.873779296875,1095.283447265625,557.4666748046875,309.4102783203125,,8115.75537109375,507.0594787597656,138.7036895751953,2769.21044921875,,376.63946533203125,4937.68701171875,485.5735168457031,2377.088134765625,243.13612365722656,1600.8634033203125,127.72348022460938,2223.5673828125,44.15517044067383,1349.05126953125,6241.048828125,2970.267822265625,200.7962646484375,5504.98486328125,2975.1748046875,2302.0595703125,3072.709228515625,969.4956665039062,2930.9697265625,721.5660400390625,744.4066772460938,471.6000061035156,1112.9117431640625,189.9573516845703,1401.8953857421875,2592.515380859375,2422.02880859375,,382.7029113769531,155.24685668945312,,4478.73681640625,1104.4061279296875,1499.228271484375,582.1926879882812,6024.26806640625,160.27001953125,290.6479797363281,681.6064453125,257.0224609375,35.573753356933594,8086.9765625,1848.0869140625,192.14663696289062,368.0667724609375,930.7362670898438,167.8990020751953,6665.34326171875,2330.0,2263.437255859375,2884.652099609375,638.2332763671875,,1774.722412109375,4697.09326171875,6716.35107421875,640.9376831054688,98.54776000976562,515.1646118164062,221.38531494140625,504.57147216796875,679.0554809570312,907.2095336914062,1223.56982421875,3214.787109375,,1528.584228515625,1043.7835693359375,1447.649169921875,11490.529296875,1359.93994140625,437.9450378417969,2446.9443359375,297.83197021484375,166.88548278808594,4455.0927734375,1069.2734375,914.9691162109375,121.2128677368164,1637.2054443359375,739.1199951171875,3053.540283203125
2020-11-20,2087.8232421875,1977.564697265625,2921.495849609375,3178.84130859375,1133.2242431640625,554.2684326171875,312.3570556640625,,8307.5380859375,520.240234375,137.52566528320312,2769.21044921875,,371.8441162109375,4956.32275390625,495.73529052734375,2424.031005859375,243.78453063964844,1635.3173828125,122.03580474853516,2233.5517578125,43.68564224243164,1336.0601806640625,6273.0126953125,2984.24560546875,202.59445190429688,5548.9130859375,2947.71435546875,2304.0576171875,3072.709228515625,974.0924072265625,2903.98828125,732.5624389648438,739.4107666015625,472.0,1132.3839111328125,194.5656280517578,1400.48828125,2642.4482421875,2380.0458984375,,379.76171875,157.79598999023438,,4490.72802734375,1114.3917236328125,1491.7572021484375,569.4016723632812,6132.1298828125,164.70864868164062,282.3665771484375,674.9249267578125,258.8156433105469,35.73338317871094,8128.95068359375,1833.82861328125,193.83908081054688,369.1141052246094,927.743408203125,167.1475830078125,6653.359375,2302.0,2243.451171875,2871.698974609375,634.2380981445312,,1780.7164306640625,4753.8642578125,6694.3896484375,639.3388671875,99.42765045166016,519.361083984375,218.19419860839844,511.8644104003906,588.1551513671875,908.4075927734375,1242.3331298828125,3168.889892578125,,1567.035888671875,1059.7802734375,1461.1318359375,11745.318359375,1363.43212890625,441.2401428222656,2457.92138671875,293.5429992675781,166.3873291015625,4448.10498046875,1071.270263671875,916.365966796875,122.72726440429688,1691.662109375,729.3421020507812,2998.602294921875
2020-11-23,2131.644287109375,2016.5169677734375,2866.67431640625,3214.81689453125,1139.7139892578125,551.6701049804688,318.8398742675781,,7990.8974609375,523.4356079101562,139.96153259277344,2699.97998046875,,372.04388427734375,4985.31298828125,483.0828857421875,2387.07666015625,252.81170654296875,1661.7821044921875,119.99021911621094,2217.57666015625,43.45587921142578,1342.5557861328125,6133.1689453125,2944.30908203125,203.3936309814453,5546.91650390625,2914.262939453125,2204.141845703125,3072.709228515625,970.2951049804688,2860.0185546875,779.1473388671875,739.4107666015625,473.6000061035156,1083.4539794921875,199.1739044189453,1372.751708984375,2596.509521484375,2275.087646484375,,382.8525085449219,166.44302368164062,,4563.673828125,1087.430419921875,1472.3319091796875,563.0061645507812,6064.21630859375,162.50933837890625,278.1759948730469,688.0885620117188,259.1145324707031,37.115234375,7879.1064453125,1819.5704345703125,194.287109375,374.3504638671875,916.7702026367188,169.72401428222656,6667.34033203125,2244.0,2263.437255859375,2866.716552734375,625.6486206054688,,1761.23583984375,4846.49072265625,6538.65966796875,623.7501220703125,106.98670959472656,504.1739196777344,214.40472412109375,516.9525146484375,578.9650268554688,895.6272583007812,1296.4254150390625,3180.863037109375,,1546.0626220703125,1064.7791748046875,1432.1689453125,11505.5166015625,1357.944580078125,449.3280334472656,2434.96923828125,287.3617858886719,167.08474731445312,4359.26416015625,1037.3250732421875,902.9955444335938,121.53167724609375,1687.166015625,732.7345581054688,3077.512939453125
2020-11-24,2250.9345703125,2125.3828125,2825.807373046875,3235.802490234375,1224.081787109375,539.4774169921875,331.8056945800781,,7990.8974609375,525.83203125,149.94451904296875,2675.0771484375,,383.6328125,4943.8984375,466.2462463378906,2310.170654296875,274.10791015625,1682.2547607421875,124.97942352294922,2220.572021484375,45.29401397705078,1376.031982421875,5853.48046875,3102.056884765625,203.3936309814453,5548.9130859375,2898.785888671875,2088.23974609375,2882.3134765625,996.2762451171875,2725.112060546875,839.7276611328125,751.401123046875,451.20001220703125,1046.506591796875,211.06373596191406,1386.821044921875,2597.508544921875,2242.100830078125,,398.4557189941406,170.441650390625,,4692.580078125,1079.4420166015625,1500.72265625,556.0110473632812,5674.716796875,151.95265197753906,276.8788757324219,712.91943359375,270.8697814941406,39.40999221801758,7611.2724609375,1831.0869140625,200.01170349121094,379.703369140625,909.5877075195312,178.3658447265625,6799.16943359375,2143.0,2278.4267578125,2845.791748046875,652.0166625976562,,1743.25390625,5032.74169921875,6299.07470703125,605.5631103515625,115.7356185913086,486.18914794921875,219.29110717773438,535.9481811523438,578.9650268554688,905.8117065429688,1370.6781005859375,3168.889892578125,,1544.06494140625,1079.7762451171875,1421.682373046875,10955.96875,1393.86376953125,469.2982177734375,2438.961181640625,286.4787292480469,163.99615478515625,4332.31103515625,1020.3524780273438,894.2152099609375,124.8593978881836,1768.6014404296875,753.4873046875,3283.27978515625
2020-11-25,2244.604736328125,2135.37060546875,2809.859130859375,3162.85205078125,1214.5968017578125,539.8772583007812,321.78668212890625,,7791.12548828125,515.8465576171875,143.1560821533203,2655.154541015625,,372.04388427734375,4912.83740234375,459.77056884765625,2299.1845703125,266.87615966796875,1707.221435546875,125.2288818359375,2182.630859375,47.08220291137695,1399.5155029296875,5887.4423828125,3161.9619140625,202.39468383789062,5644.755859375,2939.72607421875,2068.25634765625,2882.3134765625,1012.7643432617188,2658.15869140625,829.3310546875,748.403564453125,459.79998779296875,1085.950439453125,214.455078125,1385.4141845703125,2598.507568359375,2209.114501953125,,397.1097717285156,170.6915740966797,,4716.56298828125,1073.45068359375,1485.281982421875,546.2178955078125,5558.8642578125,148.91357421875,274.3844909667969,691.977783203125,260.9076843261719,38.04310607910156,7721.203125,1827.2479248046875,195.4320526123047,385.521728515625,906.594970703125,175.46730041503906,6537.5087890625,2160.0,2328.392333984375,2823.870361328125,652.216552734375,,1742.7542724609375,4898.78076171875,6432.8427734375,598.9679565429688,110.88623046875,487.5879211425781,219.8894805908203,539.0009765625,593.9486694335938,917.393798828125,1344.3304443359375,3109.024658203125,,1504.6143798828125,1066.7789306640625,1402.7066650390625,10756.1328125,1382.8883056640625,470.2967224121094,2450.935791015625,288.6232604980469,159.9111785888672,4551.9208984375,1016.35888671875,916.16650390625,123.9029312133789,1742.12255859375,754.2854614257812,3162.4169921875
2020-11-26,2207.113525390625,2136.36962890625,2813.846435546875,3159.85400390625,1213.59814453125,543.8748168945312,321.00091552734375,,7739.1845703125,509.8553466796875,140.86001586914062,2662.625244140625,,364.2513427734375,4848.64453125,464.9510803222656,2341.1328125,262.8364562988281,1717.2081298828125,122.03580474853516,2179.63525390625,45.81348419189453,1391.5213623046875,5901.42578125,3075.099853515625,203.3936309814453,5812.48095703125,2924.248779296875,2048.570068359375,2882.3134765625,1014.762939453125,2626.1806640625,836.3287963867188,746.4050903320312,452.3999938964844,1086.94873046875,211.6621856689453,1396.8704833984375,2630.4638671875,2193.120849609375,,396.66107177734375,164.59364318847656,,4765.52734375,1068.957275390625,1415.009765625,541.4212646484375,5512.92431640625,146.27442932128906,270.1938781738281,675.7398681640625,259.512939453125,37.234954833984375,7843.12841796875,1833.2803955078125,191.947509765625,370.0450439453125,879.4126586914062,171.9247283935547,6567.47021484375,2193.0,2358.372314453125,2680.05029296875,654.2140502929688,,1738.2589111328125,4881.8486328125,6590.56884765625,605.9629516601562,108.28655242919922,486.2890930175781,215.9005889892578,538.8316650390625,598.7435302734375,906.6105346679688,1337.5438232421875,3148.934326171875,,1487.6356201171875,1085.774658203125,1414.19189453125,10801.0947265625,1375.904052734375,460.5113220214844,2444.94873046875,287.23565673828125,157.9185028076172,4573.8828125,991.3992919921875,912.17529296875,125.21807861328125,1707.1497802734375,740.71630859375,3189.385986328125
2020-11-27,2206.1396484375,2123.385498046875,2837.768310546875,3147.8623046875,1235.064453125,547.8724365234375,318.3487854003906,,7761.15869140625,503.4646911621094,139.26272583007812,2666.6103515625,,362.6528625488281,4850.71533203125,473.22003173828125,2313.16650390625,262.2379150390625,1719.205322265625,121.03794860839844,2179.63525390625,45.703590393066406,1417.003173828125,5943.38037109375,3038.158935546875,206.19078063964844,5676.70458984375,2928.741943359375,2056.564453125,2882.3134765625,1041.743408203125,2583.210693359375,838.528076171875,755.3980102539062,447.20001220703125,1110.4150390625,213.00880432128906,1390.4388427734375,2628.466796875,2219.1103515625,,403.6402282714844,160.79495239257812,,4769.52490234375,1074.44921875,1408.0345458984375,539.8223266601562,5494.94580078125,146.5943145751953,270.29364013671875,663.3721923828125,255.32891845703125,37.21000671386719,7915.0830078125,1853.0228271484375,192.59461975097656,370.7432556152344,871.8296508789062,172.46145629882812,6509.54638671875,2218.0,2438.316650390625,2687.02685546875,649.219970703125,,1740.2569580078125,4902.76416015625,6504.71826171875,623.5502319335938,107.63662719726562,490.3855895996094,215.9005889892578,548.4989013671875,609.1321411132812,900.0205078125,1336.74560546875,3206.804931640625,,1465.6630859375,1108.7701416015625,1450.6453857421875,10841.0625,1376.90185546875,463.0075378417969,2383.076416015625,287.3617858886719,156.62327575683594,4577.8759765625,986.906494140625,897.20849609375,124.44094848632812,1685.6669921875,747.700439453125,3158.42138671875
2020-11-30,2155.50244140625,2107.40478515625,2847.735595703125,3178.84130859375,1251.538818359375,560.2650146484375,315.5003356933594,,7796.119140625,503.2650146484375,134.3311309814453,2629.255615234375,,365.0505676269531,4787.5576171875,476.1091003417969,2356.114013671875,247.02633666992188,1726.6956787109375,116.54768371582031,2158.66748046875,44.07524108886719,1323.0693359375,5949.3740234375,2932.328125,206.59039306640625,5672.7099609375,2875.81884765625,2118.521484375,2882.3134765625,1034.7484130859375,2644.168212890625,805.138916015625,749.4027099609375,421.79998779296875,1051.0001220703125,211.3131103515625,1376.7718505859375,2604.4990234375,2215.11181640625,,387.0898132324219,154.14723205566406,,4639.619140625,1068.957275390625,1356.2171630859375,529.829345703125,5514.92138671875,155.19161987304688,272.98760986328125,655.8917236328125,251.7425537109375,35.5388298034668,8100.9677734375,1818.473876953125,186.67092895507812,357.24468994140625,846.4869995117188,165.96670532226562,6543.501953125,2207.0,2453.306396484375,2647.160400390625,646.2236938476562,,1745.7513427734375,4814.619140625,6572.6005859375,624.549560546875,105.6868667602539,496.8800964355469,210.51551818847656,545.9548950195312,604.3373413085938,910.6043090820312,1268.6805419921875,3172.880615234375,,1457.1737060546875,1095.77294921875,1449.147216796875,11125.830078125,1337.9891357421875,451.52471923828125,2384.073974609375,286.3526916503906,153.3852081298828,4562.90185546875,987.9048461914062,898.4059448242188,123.2254409790039,1673.6766357421875,723.9544067382812,3027.5693359375
2020-12-01,2267.975830078125,2174.32275390625,2877.638671875,3221.81201171875,1308.9488525390625,568.2601318359375,326.50146484375,,7791.12548828125,508.4574890136719,142.9963836669922,2650.174072265625,,380.2360534667969,5061.93115234375,486.86865234375,2357.11328125,254.40768432617188,1790.1107177734375,122.78417205810547,2180.6337890625,45.23406982421875,1400.514892578125,6031.28173828125,2989.23779296875,204.99197387695312,5716.6376953125,2922.251953125,2146.501953125,3081.741943359375,1037.74609375,2675.14697265625,862.3203125,763.3915405273438,440.0,1113.4111328125,219.39254760742188,1387.8262939453125,2477.66943359375,2227.10693359375,,404.886474609375,162.69430541992188,,4749.53955078125,1110.8966064453125,1373.1572265625,548.8160400390625,5556.8671875,161.74960327148438,281.1692199707031,687.80859375,264.79290771484375,38.18778610229492,7985.03955078125,1879.345458984375,191.39996337890625,384.9398193359375,853.0721435546875,176.86289978027344,6737.25,2201.0,2513.2646484375,2829.55126953125,664.2020874023438,,1756.240966796875,4977.46337890625,6436.83544921875,644.9347534179688,112.08607482910156,491.6844787597656,215.50167846679688,553.2476806640625,587.3558959960938,912.8009643554688,1301.615478515625,3274.652587890625,,1508.1097412109375,1105.7706298828125,1505.5750732421875,10906.009765625,1366.42529296875,476.18780517578125,2356.132080078125,288.7493591308594,165.44082641601562,4426.14599609375,1054.2977294921875,910.3793334960938,124.97895050048828,1708.1492919921875,751.0927124023438,3149.431640625
2020-12-02,2316.666259765625,2239.242431640625,2881.62548828125,3190.832763671875,1309.4481201171875,560.6647338867188,330.1358337402344,,7927.96826171875,516.0464477539062,146.69007873535156,2679.5595703125,,368.4472961425781,4919.0498046875,476.2087707519531,2364.10400390625,266.47723388671875,1798.5994873046875,126.07705688476562,2230.556396484375,45.4538459777832,1427.495849609375,6009.3076171875,3018.1904296875,205.19180297851562,5720.63134765625,2919.256103515625,2138.507080078125,3081.741943359375,1039.2452392578125,2672.14892578125,872.317138671875,772.384521484375,438.6000061035156,1138.3753662109375,222.2353515625,1400.48828125,2528.600830078125,2224.1083984375,,417.099853515625,165.24342346191406,,4749.53955078125,1102.908203125,1415.009765625,548.4163818359375,5558.8642578125,160.27001953125,275.38226318359375,696.8848266601562,263.3982238769531,38.656715393066406,8748.56640625,1843.1514892578125,193.1422119140625,386.80169677734375,861.6526489257812,178.20484924316406,6749.23486328125,2185.0,2498.275146484375,2753.80419921875,672.7918090820312,,1765.7313232421875,5217.9951171875,6339.00537109375,627.5472412109375,116.7354965209961,496.7801818847656,209.31881713867188,557.1488037109375,577.9661865234375,906.81005859375,1351.11669921875,3282.635009765625,,1513.1036376953125,1096.7725830078125,1498.084716796875,10960.9638671875,1363.9310302734375,486.7720947265625,2387.068115234375,283.19891357421875,161.5550994873047,4391.20751953125,1057.29296875,927.5411376953125,126.59300231933594,1663.184814453125,752.0904541015625,3201.372802734375
