Date,XMR-USD,SOL-USD,LINK-USD,XRP-USD,LTC-USD,BNB-USD,DOGE-USD,XLM-USD,ETH-USD,BTC-USD
2018-10-29,101.48799896240234,,0.418148010969162,0.4415139853954315,49.0713996887207,9.402620315551758,0.0038469999562948942,0.22235700488090515,197.2469940185547,6332.6298828125
2018-10-30,102.5530014038086,,0.45041000843048096,0.4447590112686157,49.23910140991211,9.387040138244629,0.0038499999791383743,0.22509300708770752,197.55599975585938,6334.27001953125
2018-10-31,103.83399963378906,,0.5060439705848694,0.4483819901943207,49.44150161743164,9.364959716796875,0.0037640000227838755,0.223471000790596,197.38099670410156,6317.60986328125
2018-11-01,103.88099670410156,,0.5140219926834106,0.45572200417518616,50.27190017700195,9.549220085144043,0.0037769998889416456,0.22294500470161438,198.8719940185547,6377.77978515625
2018-11-02,105.77999877929688,,0.5007830262184143,0.4586850106716156,51.3306999206543,9.573080062866211,0.003773000091314316,0.23424400389194489,200.63499450683594,6388.43994140625
2018-11-03,106.86699676513672,,0.5430309772491455,0.45566698908805847,50.9734001159668,9.5302095413208,0.0037330000195652246,0.23570600152015686,200.18600463867188,6361.259765625
2018-11-04,111.7959976196289,,0.5039960145950317,0.4626910090446472,53.61249923706055,9.62753963470459,0.00367600005120039,0.24163800477981567,207.48599243164062,6376.1298828125
2018-11-05,111.34500122070312,,0.4813680052757263,0.4974119961261749,53.54629898071289,9.672510147094727,0.003622000105679035,0.2465289980173111,209.09100341796875,6419.66015625
2018-11-06,112.89399719238281,,0.48411500453948975,0.5490800142288208,55.945098876953125,9.780810356140137,0.0036959999706596136,0.2655960023403168,218.45199584960938,6461.009765625
2018-11-07,111.51300048828125,,0.48214098811149597,0.5357069969177246,54.188899993896484,9.816929817199707,0.003636999987065792,0.2567180097103119,217.18299865722656,6530.14013671875
2018-11-08,108.427001953125,,0.4979740083217621,0.4935080111026764,52.3734016418457,9.65095043182373,0.0033839999232441187,0.2560429871082306,212.2310028076172,6453.72021484375
2018-11-09,106.89299774169922,,0.4924769997596741,0.5006679892539978,51.895999908447266,9.554200172424316,0.0031399999279528856,0.25554201006889343,210.07400512695312,6385.6201171875
2018-11-10,105.24500274658203,,0.5211430191993713,0.5066980123519897,52.401798248291016,9.557519912719727,0.0032850001007318497,0.2612299919128418,212.5330047607422,6409.22021484375
2018-11-11,106.3759994506836,,0.5096359848976135,0.5059130191802979,51.364898681640625,9.465999603271484,0.0031620000954717398,0.27360498905181885,211.33999633789062,6411.27001953125
2018-11-12,105.13899993896484,,0.5627989768981934,0.5171650052070618,50.64820098876953,9.361220359802246,0.0030640000477433205,0.2673259973526001,210.41799926757812,6371.27001953125
2018-11-13,105.11299896240234,,0.5814419984817505,0.5101119875907898,49.69660186767578,9.24841022491455,0.002945000072941184,0.25778698921203613,206.8260040283203,6359.490234375
2018-11-14,90.7582015991211,,0.5478429794311523,0.474371999502182,43.610801696777344,8.407010078430176,0.0026950000319629908,0.23304300010204315,181.39700317382812,5738.35009765625
2018-11-15,88.67250061035156,,0.5416330099105835,0.48170799016952515,43.948299407958984,8.184860229492188,0.00279999990016222,0.24194400012493134,180.80599975585938,5648.02978515625
2018-11-16,87.0552978515625,,0.5128939747810364,0.4716089963912964,42.458900451660156,7.884479999542236,0.0027459999546408653,0.23884999752044678,175.177001953125,5575.5498046875
2018-11-17,88.00330352783203,,0.4851199984550476,0.49165400862693787,41.92890167236328,7.718200206756592,0.0025949999690055847,0.24492700397968292,174.00100708007812,5554.330078125
2018-11-18,89.39299774169922,,0.5242379903793335,0.5104730129241943,42.32789993286133,7.999760150909424,0.002643000101670623,0.24975800514221191,177.06700134277344,5623.5400390625
2018-11-19,72.48999786376953,,0.4112899899482727,0.47816601395606995,36.6411018371582,6.632090091705322,0.00241800001822412,0.2244119942188263,149.1750030517578,4871.490234375
2018-11-20,66.48600006103516,,0.34181299805641174,0.4347259998321533,33.0442008972168,5.760210037231445,0.0022539999336004257,0.1931930035352707,130.33900451660156,4451.8701171875
2018-11-21,68.94280242919922,,0.3675070106983185,0.4476509988307953,34.67060089111328,6.199049949645996,0.0024480000138282776,0.20368799567222595,136.7010040283203,4602.169921875
2018-11-22,65.85810089111328,,0.34296101331710815,0.42607998847961426,32.195098876953125,5.755549907684326,0.00241199997253716,0.18779699504375458,126.70600128173828,4365.93994140625
2018-11-23,66.62689971923828,,0.3293429911136627,0.40742799639701843,32.159698486328125,5.557429790496826,0.0023610000498592854,0.18121099472045898,123.2959976196289,4347.10986328125
2018-11-24,58.35820007324219,,0.28456801176071167,0.3753359913825989,29.21769905090332,5.1152801513671875,0.0022239999379962683,0.15420499444007874,113.49400329589844,3880.760009765625
2018-11-25,58.05329895019531,,0.2594279944896698,0.374550998210907,30.892200469970703,5.180580139160156,0.002219999907538295,0.15960699319839478,116.44999694824219,4009.969970703125
2018-11-26,53.21699905395508,,0.2838659882545471,0.35545098781585693,29.410999298095703,4.926449775695801,0.0020989999175071716,0.1447950005531311,108.33499908447266,3779.1298828125
2018-11-27,57.13159942626953,,0.28758400678634644,0.36016300320625305,31.06879997253418,4.913050174713135,0.002087000058963895,0.14437399804592133,110.01000213623047,3820.719970703125
2018-11-28,63.52410125732422,,0.33145999908447266,0.3905569911003113,34.6265983581543,5.3369598388671875,0.0022460001055151224,0.1622370034456253,122.43800354003906,4257.419921875
2018-11-29,61.19553756713867,,0.3447819948196411,0.37956199049949646,33.797447204589844,5.346632957458496,0.0022410000674426556,0.1650799959897995,117.54264831542969,4278.8466796875
